Name,Company_Name,Employee_Job_Title,Employee_City,Employee_Country,Employee_Salary,Employment_Status,Employee_Rating,Credits
Christine Baker,Nichols-James,Armed forces logistics/support/administrative officer,North Melissafurt,Zambia,381400,Full Time,2.0,3
Laura Mata,Andrade LLC,Naval architect,West Jamesview,El Salvador,226800,Intern,0.0,3
Ryan Rowe,Matthews Inc,Equities trader,New Cindychester,Saint Barthelemy,675810,Full Time,3.9,2
Rebecca Thomas,Taylor-Ramos,Garment/textile technologist,New Russellton,Argentina,834740,Full Time,2.0,5
Cheyenne Torres,Nelson-Li,Actuary,Kristaburgh,Thailand,423370,Full Time,0.5,5
Steven Burgess,Andrade LLC,Optometrist,New Cindychester,Saint Kitts and Nevis,948230,Intern,1.2,2
Craig Rodriguez,Bullock-Carrillo,Garment/textile technologist,Whiteside,Maldives,379820,Full Time,3.7,3
Monique Harding,Bullock-Carrillo,Ergonomist,New Cindychester,Chile,894640,Full Time,1.0,4
Matthew Mcdonald,Scott Inc,Administrator,Wardfort,Turkmenistan,890390,Full Time,3.0,1
Charlotte Cuevas,Marshall-Holloway,Regulatory affairs officer,Whiteside,Guernsey,162740,Full Time,4.4,2
Emily Weber,Matthews Inc,Patent examiner,Kristaburgh,Saint Barthelemy,235430,Intern,2.3,1
Shane Mahoney,Nelson-Li,Production engineer,New Cindychester,Bosnia and Herzegovina,15220,Full Time,3.1,1
William Stein,Andrade LLC,Energy manager,North Melissafurt,Mali,858070,Full Time,0.6,1
Leslie Donovan,Nelson-Li,Naval architect,New Russellton,Niue,330750,Full Time,5.0,2
Sean Paul,James and Sons,Retail merchandiser,Whitakerbury,Yemen,641100,Full Time,4.5,3
Edwin Smith,"Baker, Allen and Edwards",Trading standards officer,Whitakerbury,Singapore,977900,Full Time,3.6,1
Jose Martin,Scott Inc,Administrator,Whitakerbury,Iran,206120,Intern,0.1,3
Dawn Bailey,"White, Mcclain and Cobb",Actuary,Aliciafort,Thailand,10110,Full Time,4.5,4
Zachary Ellison,James and Sons,Sales promotion account executive,Kristaburgh,Aruba,733810,Full Time,2.6,1
Jodi Taylor,Scott Inc,Sales promotion account executive,Ricardomouth,Palau,167290,Intern,3.3,3
Tiffany Perez,Marshall-Holloway,"Radiographer, therapeutic",Whiteside,Saint Martin,930570,Full Time,4.1,3
Kelly Liu,Matthews Inc,Patent examiner,Aliciafort,Czech Republic,653630,Intern,0.9,1
Christopher Callahan,Thomas-Spencer,Trading standards officer,North Melissafurt,Mali,561490,Full Time,1.0,3
Gina Acosta,Nichols-James,Actuary,Kristaburgh,Maldives,374250,Full Time,2.1,3
Alexis Gibson,"White, Mcclain and Cobb",Regulatory affairs officer,Whitakerbury,Jamaica,551380,Intern,4.2,4
Kayla Lewis,"Campos, Reynolds and Mccormick","Investment banker, corporate",Ricardomouth,Haiti,16049,Intern,0.5,3
James Wright,Nelson-Li,Optometrist,Kristaburgh,Paraguay,853400,Intern,1.0,2
Jeffrey Gonzalez,Taylor-Ramos,Garment/textile technologist,Aliciafort,India,343370,Full Time,4.6,2
Jonathan Chen,"Wallace, Smith and Shepard",Actuary,New Cindychester,Equatorial Guinea,469320,Intern,2.7,5
Cassandra Powers,James and Sons,Production engineer,Wardfort,Mauritania,615260,Full Time,1.7,1
Paul Wilkins,"Campos, Reynolds and Mccormick",Trading standards officer,Kristaburgh,Marshall Islands,71360,Full Time,1.6,5
Jodi Aguilar,Nichols-James,Ergonomist,New Cindychester,Korea,989400,Full Time,4.7,2
Amanda Thompson,Taylor-Ramos,Ergonomist,Whiteside,Tanzania,181180,Full Time,3.8,2
Brandon Herrera,"Campos, Reynolds and Mccormick",Optometrist,New Russellton,Uruguay,318740,Full Time,1.1,1
Sara Hall,Bullock-Carrillo,Make,New Cindychester,Marshall Islands,523730,Intern,1.6,5
Carla Erickson,"Baker, Allen and Edwards",Administrator,Whitakerbury,Burkina Faso,764400,Intern,0.1,1
Adam Jones,Marshall-Holloway,Energy manager,New Russellton,France,410560,Intern,1.9,2
Brian Ramirez,"Wallace, Smith and Shepard",Actuary,New Russellton,Argentina,184420,Full Time,2.5,1
Brandon Kline,Bullock-Carrillo,"Radiographer, therapeutic",Whiteside,Oman,501860,Full Time,1.0,1
Jessica Brown,"Wallace, Smith and Shepard",Patent examiner,Whiteside,Djibouti,172240,Full Time,3.5,5
Douglas Kennedy,Andrade LLC,"Radiographer, therapeutic",Aliciafort,United States Minor Outlying Islands,377150,Full Time,0.8,2
Rachel Day,James and Sons,Energy manager,New Cindychester,Brunei Darussalam,953350,Full Time,1.5,3
Dillon Davis,"Johnston, Fleming and Tanner",Garment/textile technologist,Ricardomouth,Bosnia and Herzegovina,386710,Full Time,2.5,3
James Morris,Marshall-Holloway,Trading standards officer,New Russellton,Denmark,598030,Intern,1.2,4
Jacqueline May,Thomas-Spencer,"Radiographer, therapeutic",Ricardomouth,Norway,947630,Full Time,2.1,1
Diane Marquez,James and Sons,Trading standards officer,Ricardomouth,Honduras,249150,Full Time,2.6,1
Robert Harris,"Johnston, Fleming and Tanner",Actuary,West Jamesview,Trinidad and Tobago,109900,Full Time,0.9,4
Thomas Garcia,Taylor-Ramos,Sales promotion account executive,New Russellton,Ghana,706110,Full Time,4.9,3
Vanessa Lamb,Taylor-Ramos,Ergonomist,Aliciafort,Saint Martin,636870,Full Time,2.7,2
Christopher Cross,Scott Inc,Garment/textile technologist,New Cindychester,Germany,167120,Intern,1.6,2
Lawrence Watkins,"Baker, Allen and Edwards","Radiographer, therapeutic",Kristaburgh,Andorra,707860,Full Time,2.4,2
Ana Thomas,Nichols-James,Production engineer,Ricardomouth,Bermuda,624410,Intern,0.8,4
Tyler Johnson,Bullock-Carrillo,Equities trader,Kristaburgh,Mozambique,455920,Full Time,3.0,3
Donald Bowman,Scott Inc,Patent examiner,Aliciafort,Greenland,341910,Full Time,1.3,4
Alicia Warren,"Baker, Allen and Edwards",Equities trader,Whiteside,Bouvet Island (Bouvetoya),617110,Full Time,0.4,3
Alexis Shepherd,Bullock-Carrillo,Diplomatic Services operational officer,Ricardomouth,Mozambique,562480,Full Time,1.8,4
Robert Perez,"Campos, Reynolds and Mccormick",Ergonomist,West Jamesview,Ethiopia,90000,Full Time,0.5,4
Stephanie Barker,Scott Inc,Retail merchandiser,Ricardomouth,Samoa,896630,Full Time,2.6,4
Patricia Johnson,"Wallace, Smith and Shepard",Energy manager,West Jamesview,Azerbaijan,171650,Full Time,0.2,4
Cindy Roberson,"Campos, Reynolds and Mccormick",Retail merchandiser,North Melissafurt,Pitcairn Islands,402450,Intern,4.0,1
Justin Charles,"Wallace, Smith and Shepard",Garment/textile technologist,Ricardomouth,Kyrgyz Republic,204680,Full Time,2.2,3
Emily Rodriguez,"Johnston, Fleming and Tanner",Sales promotion account executive,Wardfort,Kazakhstan,276830,Intern,3.3,2
William Gonzalez,Scott Inc,Administrator,Kristaburgh,Mexico,27420,Full Time,2.5,1
Aaron Johnson,"White, Mcclain and Cobb",Patent examiner,West Jamesview,Brazil,493860,Intern,4.2,1
Dustin Gonzalez,Nelson-Li,Actuary,Ricardomouth,Venezuela,444920,Intern,4.9,1
Melissa Mitchell,"Wallace, Smith and Shepard",Ergonomist,Whitakerbury,Turkmenistan,578740,Intern,0.9,4
Barbara Tran,"Johnston, Fleming and Tanner",Actuary,North Melissafurt,Martinique,213680,Full Time,3.7,2
Samuel Mahoney,Nelson-Li,Diplomatic Services operational officer,New Cindychester,Denmark,160450,Intern,4.0,4
Heather Navarro,Andrade LLC,Actuary,Ricardomouth,Sierra Leone,415130,Full Time,4.2,1
Mitchell Hill,"Baker, Allen and Edwards",Trading standards officer,Aliciafort,Marshall Islands,67460,Full Time,1.4,3
David Knight,Bullock-Carrillo,Garment/textile technologist,New Cindychester,British Indian Ocean Territory (Chagos Archipelago),979580,Full Time,0.6,1
Kimberly Dorsey,Marshall-Holloway,Regulatory affairs officer,Ricardomouth,Anguilla,148950,Full Time,4.1,5
Christopher Jones,Matthews Inc,Garment/textile technologist,Aliciafort,Guinea,193990,Full Time,1.5,5
Wendy Copeland,"Johnston, Fleming and Tanner",Sales promotion account executive,New Russellton,Ireland,328350,Intern,4.4,4
Adam Sampson,James and Sons,"Investment banker, corporate",West Jamesview,Honduras,947390,Full Time,2.7,4
Kayla Jones,Bullock-Carrillo,Actuary,Ricardomouth,Nicaragua,976110,Intern,0.2,2
Robert Turner,"Campos, Reynolds and Mccormick",Actuary,Whiteside,Tunisia,760730,Full Time,3.1,1
Michael Martin,Marshall-Holloway,Garment/textile technologist,Wardfort,Russian Federation,212580,Full Time,1.0,2
Mario Rodriguez,Bullock-Carrillo,Optometrist,New Russellton,Austria,993910,Full Time,0.8,5
Donna Hays,"Wallace, Smith and Shepard",Naval architect,Whitakerbury,Yemen,472280,Full Time,2.2,2
Jared Fox,"Wallace, Smith and Shepard","Radiographer, therapeutic",Ricardomouth,Algeria,468210,Full Time,0.5,3
Joshua Wiley,Bullock-Carrillo,Diplomatic Services operational officer,Aliciafort,Brazil,987830,Full Time,4.2,1
Nicole Young,Nichols-James,Make,Ricardomouth,Nigeria,830940,Full Time,1.1,2
Lori Bartlett,Matthews Inc,Production engineer,Aliciafort,Dominica,937380,Full Time,4.6,1
Daniel Singleton,Thomas-Spencer,Regulatory affairs officer,North Melissafurt,Benin,126800,Full Time,1.9,3
Sarah Torres,Matthews Inc,Optometrist,Aliciafort,Kuwait,125530,Full Time,4.6,3
Steven Moore,Nelson-Li,Diplomatic Services operational officer,Wardfort,Lesotho,221920,Full Time,2.7,4
Ryan Reynolds,Bullock-Carrillo,Make,West Jamesview,San Marino,967210,Full Time,0.4,1
Alexis Foley,Scott Inc,Administrator,Whitakerbury,Andorra,100470,Full Time,4.3,1
David Parker,"White, Mcclain and Cobb",Regulatory affairs officer,West Jamesview,Poland,84220,Full Time,0.8,5
Traci Lopez,Scott Inc,Ergonomist,West Jamesview,Ethiopia,660800,Full Time,4.7,3
Andrea Scott,Bullock-Carrillo,Garment/textile technologist,Ricardomouth,Albania,568770,Full Time,4.7,1
Jennifer Gonzales,Scott Inc,Diplomatic Services operational officer,Kristaburgh,Sao Tome and Principe,968040,Intern,3.4,5
Jennifer Campbell,"Baker, Allen and Edwards",Actuary,Wardfort,Maldives,785440,Full Time,4.6,2
Mark Andrews,Taylor-Ramos,Ergonomist,Whitakerbury,Saint Helena,162650,Full Time,3.0,2
Rhonda Stephens,"Campos, Reynolds and Mccormick",Production engineer,Whitakerbury,Dominican Republic,849130,Full Time,2.1,5
Jason Thomas,"Campos, Reynolds and Mccormick",Diplomatic Services operational officer,Aliciafort,Albania,501220,Full Time,4.6,3
Alexander Cervantes,"Campos, Reynolds and Mccormick",Trading standards officer,New Cindychester,Tajikistan,36000,Full Time,2.1,2
David Campbell,Thomas-Spencer,Optometrist,Wardfort,Tunisia,419960,Full Time,0.5,2
Donna Burns,"Johnston, Fleming and Tanner",Patent examiner,Ricardomouth,Japan,530820,Full Time,3.5,2
Samantha Jackson,"Wallace, Smith and Shepard",Patent examiner,Aliciafort,Malta,248920,Intern,3.4,4
Joshua Patterson,Thomas-Spencer,Retail merchandiser,Wardfort,Croatia,861670,Full Time,4.5,2
Julia Nelson,Andrade LLC,Make,New Cindychester,Morocco,841470,Full Time,4.4,2
Cheryl Good,"Baker, Allen and Edwards",Actuary,Aliciafort,Brazil,822470,Full Time,3.9,1
William Taylor,Nichols-James,Patent examiner,Whitakerbury,Mauritania,477800,Full Time,1.3,4
Danny Kelly,"Baker, Allen and Edwards",Ergonomist,Aliciafort,Mauritania,304440,Full Time,2.2,1
James Jackson,"White, Mcclain and Cobb",Patent examiner,New Russellton,Taiwan,192720,Intern,4.3,4
Peter Mitchell,James and Sons,Ergonomist,West Jamesview,United States Virgin Islands,709080,Intern,4.0,5
Anna Thomas,Andrade LLC,"Investment banker, corporate",New Cindychester,Cape Verde,31579,Full Time,4.0,5
Raven Moore,Nelson-Li,Optometrist,Wardfort,Jamaica,425080,Full Time,0.8,2
Nicole Peterson,Scott Inc,Armed forces logistics/support/administrative officer,West Jamesview,Liberia,789630,Full Time,3.8,3
Todd Adams,Thomas-Spencer,Actuary,Whiteside,Thailand,207790,Full Time,4.9,1
Brooke Johns,"Baker, Allen and Edwards",Energy manager,New Russellton,Faroe Islands,825110,Intern,2.5,1
Scott Conley,Matthews Inc,Regulatory affairs officer,Whiteside,Armenia,861090,Intern,1.9,3
Rachel Carr,"White, Mcclain and Cobb","Radiographer, therapeutic",West Jamesview,Panama,322650,Full Time,1.8,4
Laurie Jacobs,James and Sons,Naval architect,New Cindychester,Benin,565530,Full Time,2.8,1
Kelly Clements,"White, Mcclain and Cobb",Make,Whitakerbury,Liechtenstein,845260,Full Time,0.2,2
Brian Steele,"Baker, Allen and Edwards",Production engineer,Whitakerbury,Cape Verde,681750,Intern,2.7,4
Kyle Clark,"Campos, Reynolds and Mccormick",Administrator,Aliciafort,Egypt,478890,Full Time,2.0,5
James Atkinson,"Johnston, Fleming and Tanner",Production engineer,North Melissafurt,Anguilla,651720,Full Time,1.2,4
Michelle Jordan,Andrade LLC,"Investment banker, corporate",Whitakerbury,Czech Republic,580500,Full Time,4.8,5
Brad Romero,"White, Mcclain and Cobb",Garment/textile technologist,North Melissafurt,Bahrain,697570,Full Time,1.0,5
Jacqueline Solomon,"Johnston, Fleming and Tanner",Equities trader,Kristaburgh,Maldives,532320,Full Time,3.9,5
Taylor Caldwell,Scott Inc,Diplomatic Services operational officer,Kristaburgh,Sweden,246350,Full Time,0.7,5
Katrina Hill,Andrade LLC,Regulatory affairs officer,Kristaburgh,Cambodia,731080,Intern,2.7,1
Dave Morgan,Marshall-Holloway,Equities trader,Whiteside,Bhutan,370410,Full Time,1.4,5
Austin Adams,"Wallace, Smith and Shepard",Sales promotion account executive,New Cindychester,Turkey,385820,Full Time,2.7,1
Michael Rivers,Andrade LLC,Production engineer,Aliciafort,Honduras,529220,Full Time,1.7,1
Allison Hale,Andrade LLC,Trading standards officer,Wardfort,Slovakia (Slovak Republic),378650,Full Time,1.7,5
Belinda Benson,Scott Inc,Patent examiner,North Melissafurt,Saint Pierre and Miquelon,230740,Full Time,1.6,3
Tonya Walters,James and Sons,Naval architect,Ricardomouth,Madagascar,174570,Intern,4.8,1
Kyle Miranda,"Wallace, Smith and Shepard",Energy manager,Ricardomouth,Israel,468070,Full Time,2.0,3
Drew Sanders,Bullock-Carrillo,Optometrist,Wardfort,Saudi Arabia,848390,Full Time,2.0,3
Nicholas Lewis,Bullock-Carrillo,Trading standards officer,North Melissafurt,Dominican Republic,888840,Full Time,0.5,5
Nancy Andrews,"Johnston, Fleming and Tanner",Armed forces logistics/support/administrative officer,Kristaburgh,Slovakia (Slovak Republic),684250,Full Time,3.7,4
Charles Ritter,Nichols-James,Ergonomist,Aliciafort,Finland,826590,Full Time,0.5,1
Heather Elliott,"Baker, Allen and Edwards",Sales promotion account executive,Ricardomouth,Costa Rica,880910,Full Time,1.9,5
Samantha Greer,"Johnston, Fleming and Tanner",Ergonomist,Whitakerbury,Tunisia,664310,Full Time,0.1,2
Dawn Rice,"Baker, Allen and Edwards",Ergonomist,West Jamesview,Bermuda,653940,Full Time,2.2,2
Shelley Ramirez,Andrade LLC,Sales promotion account executive,New Russellton,Colombia,252029,Full Time,1.4,4
Jacob Miller,Thomas-Spencer,Ergonomist,Whitakerbury,Belgium,78130,Intern,3.0,2
David Thomas,James and Sons,Patent examiner,Whiteside,United States Minor Outlying Islands,279320,Full Time,2.0,4
Catherine Campbell,"Campos, Reynolds and Mccormick",Retail merchandiser,Aliciafort,Canada,784770,Full Time,2.9,3
Jeffrey Valenzuela,Nichols-James,Regulatory affairs officer,Aliciafort,Venezuela,71040,Full Time,0.7,1
Ashley Stewart,Nichols-James,Equities trader,North Melissafurt,Korea,400220,Full Time,2.4,4
Denise Smith,"Wallace, Smith and Shepard",Ergonomist,Ricardomouth,Portugal,358200,Full Time,2.6,5
Nancy Lambert,"Campos, Reynolds and Mccormick",Diplomatic Services operational officer,Ricardomouth,Solomon Islands,823190,Full Time,4.5,2
Linda Frank,Thomas-Spencer,Naval architect,Whitakerbury,Palestinian Territory,121910,Full Time,0.0,3
Russell Barry,Nelson-Li,Sales promotion account executive,New Russellton,Gabon,881170,Full Time,4.3,4
Mark Gomez,Marshall-Holloway,Equities trader,North Melissafurt,Zimbabwe,460640,Full Time,0.9,2
Sarah Wilson,"Wallace, Smith and Shepard",Naval architect,Aliciafort,United Arab Emirates,812830,Full Time,0.7,5
Charles Garcia,Matthews Inc,Administrator,Wardfort,Portugal,303080,Full Time,4.8,4
Elijah Griffin,Marshall-Holloway,Sales promotion account executive,Aliciafort,Belgium,22990,Full Time,1.8,4
Kathryn Moore,Bullock-Carrillo,Retail merchandiser,Ricardomouth,New Caledonia,937070,Intern,1.6,1
Kathleen Lewis,Scott Inc,Sales promotion account executive,West Jamesview,Sao Tome and Principe,684210,Full Time,2.0,4
Micheal Myers,Andrade LLC,Optometrist,Whiteside,Benin,783440,Full Time,4.3,2
Thomas Knight,Thomas-Spencer,Energy manager,Kristaburgh,Oman,449940,Full Time,2.2,4
Kim Hall,"Wallace, Smith and Shepard",Retail merchandiser,Whiteside,Sao Tome and Principe,444250,Full Time,0.5,5
Jennifer Cooper,Nichols-James,Armed forces logistics/support/administrative officer,Whiteside,Kuwait,731890,Intern,1.4,3
Lisa Willis,Andrade LLC,Garment/textile technologist,Aliciafort,Chad,354060,Full Time,2.4,1
James Johnson,Bullock-Carrillo,Garment/textile technologist,Whitakerbury,Switzerland,832410,Full Time,1.4,4
Bryan Frank,Nelson-Li,Regulatory affairs officer,Ricardomouth,American Samoa,584610,Full Time,0.2,1
Margaret Miller,Bullock-Carrillo,Sales promotion account executive,Kristaburgh,Tanzania,248790,Intern,0.9,3
Theresa Snyder,Scott Inc,Diplomatic Services operational officer,Wardfort,Namibia,771670,Full Time,0.1,5
Helen Brown,Bullock-Carrillo,Administrator,Whitakerbury,Maldives,349260,Full Time,1.6,2
Joseph Reyes,James and Sons,Equities trader,Wardfort,Grenada,447050,Full Time,2.1,3
Scott Griffin,Bullock-Carrillo,Regulatory affairs officer,New Russellton,Bangladesh,412510,Intern,0.4,2
Shawn Camacho,Scott Inc,Garment/textile technologist,Kristaburgh,Fiji,169900,Full Time,1.1,5
Matthew Mueller,"Wallace, Smith and Shepard",Administrator,West Jamesview,Tonga,36190,Full Time,1.0,5
Daniel Lee,Marshall-Holloway,Make,New Cindychester,Albania,999840,Full Time,0.9,3
Nicholas Garcia,Marshall-Holloway,Sales promotion account executive,Kristaburgh,Malawi,788280,Full Time,0.7,3
Katherine Gonzalez,"Johnston, Fleming and Tanner",Energy manager,Whitakerbury,Madagascar,705640,Full Time,0.6,1
Daniel Carr,James and Sons,Administrator,Whiteside,Bouvet Island (Bouvetoya),772280,Full Time,3.5,2
Chad Henry,Bullock-Carrillo,Sales promotion account executive,West Jamesview,Kiribati,590910,Full Time,2.1,1
Carlos Adams,James and Sons,Equities trader,Kristaburgh,Azerbaijan,826760,Full Time,2.5,3
Stephen Oneal,"Campos, Reynolds and Mccormick",Garment/textile technologist,Whitakerbury,Lesotho,319120,Full Time,2.2,1
Glenn Goodman,"Campos, Reynolds and Mccormick",Production engineer,West Jamesview,Slovakia (Slovak Republic),392830,Full Time,1.2,4
Martin Shannon,Bullock-Carrillo,Diplomatic Services operational officer,Wardfort,Indonesia,389410,Full Time,0.7,2
Kenneth Green,Thomas-Spencer,Sales promotion account executive,Ricardomouth,Marshall Islands,756460,Intern,4.8,4
Kenneth Erickson,Taylor-Ramos,Regulatory affairs officer,Ricardomouth,Yemen,547600,Full Time,2.5,1
Tiffany Underwood,Matthews Inc,Equities trader,Ricardomouth,Belize,666610,Full Time,3.9,5
Theresa Espinoza,James and Sons,Energy manager,New Cindychester,Guyana,332970,Full Time,1.0,4
Cynthia Morse,Scott Inc,Naval architect,Wardfort,United Kingdom,925710,Full Time,1.7,3
David Arellano,"Baker, Allen and Edwards",Diplomatic Services operational officer,West Jamesview,Burkina Faso,670140,Full Time,2.4,1
Michelle Rodriguez,Matthews Inc,"Investment banker, corporate",Aliciafort,Burkina Faso,597230,Full Time,0.5,5
Taylor Duncan,"Campos, Reynolds and Mccormick",Trading standards officer,North Melissafurt,India,221280,Intern,3.0,2
Michael Arroyo,Andrade LLC,Diplomatic Services operational officer,West Jamesview,Suriname,19230,Full Time,0.3,2
Amanda York,Andrade LLC,Energy manager,New Russellton,Tanzania,926880,Full Time,1.0,2
Heidi Moore,"Johnston, Fleming and Tanner",Administrator,New Cindychester,Chad,957480,Full Time,0.9,2
Matthew Rogers,Nichols-James,Armed forces logistics/support/administrative officer,New Cindychester,Cuba,845180,Full Time,1.7,1
Shane Roman,"White, Mcclain and Cobb",Regulatory affairs officer,Wardfort,Chad,30710,Full Time,3.8,5
Yvonne Garner,"Baker, Allen and Edwards",Administrator,West Jamesview,Somalia,43020,Intern,3.2,3
Cody Evans,James and Sons,"Investment banker, corporate",Whiteside,Bahamas,69500,Full Time,1.4,4
Katrina Alvarado,"Johnston, Fleming and Tanner",Retail merchandiser,North Melissafurt,Venezuela,491910,Full Time,2.2,5
Ronald Neal,Nelson-Li,"Investment banker, corporate",West Jamesview,Zimbabwe,996880,Full Time,4.4,1
Edward Moore,Andrade LLC,Armed forces logistics/support/administrative officer,Wardfort,Ghana,81920,Intern,1.9,4
April Johnson,Andrade LLC,Production engineer,New Cindychester,Antigua and Barbuda,113520,Full Time,3.6,5
Richard White,"White, Mcclain and Cobb","Radiographer, therapeutic",Aliciafort,Burundi,713860,Full Time,3.5,2
Christine Johnson,Thomas-Spencer,Patent examiner,New Russellton,Guernsey,828940,Full Time,4.2,4
Katrina Horne,"White, Mcclain and Cobb",Trading standards officer,West Jamesview,Netherlands,591500,Full Time,4.7,4
Jeremy Sanchez,"White, Mcclain and Cobb",Garment/textile technologist,North Melissafurt,Burkina Faso,621160,Full Time,2.7,1
Alyssa Arnold,Bullock-Carrillo,Optometrist,Wardfort,Saint Kitts and Nevis,746780,Full Time,0.7,5
David Oneal,"Johnston, Fleming and Tanner",Production engineer,New Russellton,Angola,28640,Intern,2.9,1
Heidi Ayala,Andrade LLC,Production engineer,Aliciafort,Taiwan,912520,Intern,4.7,2
Stacey Rosario,Scott Inc,Energy manager,Whiteside,Ukraine,331490,Full Time,0.7,2
Andrew Murphy,Taylor-Ramos,Trading standards officer,Wardfort,Mozambique,733230,Full Time,3.5,5
Robin Chapman,Marshall-Holloway,Naval architect,West Jamesview,Svalbard & Jan Mayen Islands,69580,Full Time,4.7,4
Sarah Deleon,Matthews Inc,Retail merchandiser,Whiteside,Tonga,220780,Intern,2.7,3
Joshua Clay,Thomas-Spencer,Optometrist,North Melissafurt,Jersey,867720,Intern,1.9,2
Kathleen Arnold,James and Sons,Diplomatic Services operational officer,Kristaburgh,Uganda,266670,Intern,0.6,2
Stacy Murray,"Wallace, Smith and Shepard",Make,Ricardomouth,Marshall Islands,52920,Full Time,1.8,1
Billy Anderson,Nelson-Li,Optometrist,Wardfort,Faroe Islands,162240,Full Time,0.1,1
Tammy Ramirez,Thomas-Spencer,Diplomatic Services operational officer,Ricardomouth,Gambia,361790,Full Time,1.0,2
Amanda Martin,Marshall-Holloway,Actuary,Aliciafort,Moldova,486640,Full Time,1.1,5
Mary Rogers,Thomas-Spencer,Equities trader,Whiteside,Belarus,604820,Full Time,1.1,2
Nathan Jacobs,James and Sons,Regulatory affairs officer,Kristaburgh,Algeria,236130,Full Time,1.6,2
Renee Davis,Scott Inc,Diplomatic Services operational officer,New Russellton,Bangladesh,863110,Intern,0.2,3
Dennis Mcmahon,"White, Mcclain and Cobb",Production engineer,Aliciafort,Somalia,420960,Full Time,4.7,1
James Nelson,Thomas-Spencer,Equities trader,Ricardomouth,Mongolia,740180,Full Time,0.5,3
Hunter Beltran,James and Sons,Administrator,Aliciafort,Honduras,936150,Full Time,3.0,4
Cynthia Garcia,James and Sons,Trading standards officer,New Russellton,United States of America,506260,Full Time,3.5,5
Sarah Soto,Taylor-Ramos,Regulatory affairs officer,Wardfort,Russian Federation,111930,Full Time,1.6,1
Linda Elliott,Nichols-James,"Radiographer, therapeutic",Aliciafort,Guam,282290,Full Time,4.1,5
David Cherry,Andrade LLC,Equities trader,New Russellton,Mali,989310,Full Time,1.6,5
Katherine Diaz,"Wallace, Smith and Shepard",Production engineer,Ricardomouth,Guernsey,200370,Full Time,1.9,2
Phyllis King,Taylor-Ramos,Make,Ricardomouth,Tokelau,471760,Full Time,1.5,2
Jamie Monroe,"Campos, Reynolds and Mccormick",Retail merchandiser,West Jamesview,Bouvet Island (Bouvetoya),126880,Intern,4.8,2
